id,Company name,contact_firstname,contact_lastname,email,phone_number,direct,business_activity,deleted,user_id,created_at,updated_at,Script,response,call_answering,voicemail,,
25,Bid Specialists Ltd.,NULL,NULL,info@bidspecialists.com,0203 195 3832,0204 599 9537,NULL,0,0,NULL,NULL,"Greets:    Good Morning/Afternoon  Bid Specialists Ltd  How can I help you Action:    I'm afraid all lines are busy at the moment. Can I take a message?  and someone will call you back as soon as they are available    Please Take their Name &  Phone Number  Business Activity:     The ultimate platform for hiring talented sales support, bid, proposal and capture professionals.Name:    Jorge Oswaldo  Analuisa - Munoz                 Email Address:         info@bidspecialists.com",NULL,1,1,CO,
26,LONDON EMPLOYMENT SERVICES LTD,NULL,NULL,support@londonserv.co.uk,0203 195 3833,0204 599 9538,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon  LONDON EMPLOYMENT SERVICES     How may I help you? Action:      All lines are busy at present can I take a message and get them to call back once they are free?  Please take their Name. Tel Number.  Activity:  Landscaping, commercial cleaning, staffing for Commercial & Residential properties .. price varies and depends on the type of services our clients requireName:      Laurynas  Prakapas   Email:    support@londonserv.co.uk",NULL,1,1,CO,
27,SHEKaBBA THE DANISH HOME,NULL,NULL,info@shekabba.com,0203 195 3834,0204 599 9539,NULL,0,0,NULL,NULL,"Online Danish Furniture and accessories retail, Commercial contract ",NULL,1,1,YCF,
28,AFRICA EXPORTS and IMPORTS PAVILIONS,NULL,NULL,aexportspavilions@gmail.com ,0203 195 3835,0204 599 9540,NULL,0,0,NULL,NULL,"AFRICA EXPORTS and IMPORTS PAVILIONS   ( 0203 195 3835  )  CO Client

Greets:  Good Morning/ afternoon   AFRICA EXPORTS and IMPORTS PAVILIONS   How may I help you?              

Action:      All lines are busy at present can I take a message?? 
Please take their Name. Tel Number.  and say we will get someone to call you back as soon as possible. 


Activity:   Exports and Imports, Exhibitions and trade expose. We work with Silverbird UP. And others are in the process- Agents involved in the sale of food, beverages and tobacco. - Agents involved in the sale of a variety of goods
Wholesale of pharmaceutical goods. Wholesale of agricultural machinery, equipment, and supplies


Name:   Don Odu Tawo       

Email:     aexportspavilions@gmail.com ",NULL,1,1,CO,
29,KMS Telecom Solutions LTD,NULL,NULL,Admin@kmstelecomsolutions.com,0203 195 3836,0204 599 9541,NULL,0,0,NULL,NULL,"We are providing call center routes, so kindly share your requirements",NULL,1,1,YCF,
30,The Police Foundation,NULL,NULL,sarah.hardy@police-foundation.org.uk,0203 195 3837,0204 599 9542,NULL,0,0,NULL,NULL,Greets:  Good Morning / Afternoon:   THE POLICE FOUNDATION   How may I help.Action:        If they want to speak to an individual tell caller I,NULL,1,1,CO,
31,Layer3 Networks,NULL,NULL,enquiries@layer3networks.co.uk,0203 195 3838,0204 599 9543,NULL,0,0,NULL,NULL," (LAYER3 NETWORKS LTD 0203 195 3838) 

GreetgsHello, u r thru to Layer3  Networks, how may I help you. 

Action:PUT CALLERS THRU TO 07957713575  

Activity.  IT network support 

Names  James Mayhook

enquiries@layer3networks.co.uk",NULL,1,1,CO,
32,Afritude LTD,NULL,NULL,admin@afritude.shop,0203 195 3839,0204 599 9544,NULL,0,0,NULL,NULL,"AFRITUDE LTD     (0203 195 3839 )   CO Client 

tell caller no longer on this number ",NULL,1,1,CO,
33,Sora Palace Holdings ,sorapalaceholdings@gmail.com,NULL,sorapalaceholdings@gmail.com,0203 195 3840,0204 599 9545,NULL,0,0,NULL,NULL,"Sora Palace Holdings  (0203 195 3840)  ycf


Greeting: Welcome to Sora Palace Holdings, how can I help you?  

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

Business Activity: Holding company  

Names: Francesco Saitta, Vincenzo Saitta, Graziano Pavent

E-mail address: sorapalaceholdings@gmail.com  ",NULL,1,1,YCF,
34,RoseTree Recruitment,NULL,NULL,duruchinelo@yahoo.co.uk,0203 195 3841 ,0204 599 9546,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:  RoseTree Recruitment  How may I help                                              Action:    I'm afraid all lines are busy at the moment. Can I take a message. and someone will call you back shortly. Please take their Name, Tel Number.  Business Activity:     Health care recruitment services.  We are recruiting health care personnel for the healthcare sector.Name(s):   Chinelo Eze          Email:         duruchinelo@yahoo.co.uk",NULL,1,1,CO,
35,PDE EDUCATIONAL & LEGAL SERVICES LTD,NULL,NULL,pdeconsultingco@gmail.com,0203 195 3842,0204 599 9547,NULL,0,0,NULL,NULL,PDE EDUCATIONAL & LEGAL SERVICES  (answer  calls as below ) Greets:  Good Morning/Afternoon   PDE CONSULTING   How can I help you Action:    I'm afraid all lines are busy at the moment. Can I take a message? and someone will call you back as soon as they are available? Take their Name. Tel Number  Business Activity    IMMIGRATION CONSULTING.  We are an immigration consulting firm located in Canada and looking at expanding into the UK and Europe.Name:   David Olabode                Email Address:   pdeconsultingco@gmail.com,NULL,1,1,CO,
36,Budget conferences,NULL,NULL,lumambamwaanza@gmail.com,0203 195 3843,0204 599 9548,NULL,0,0,NULL,NULL,"Budget conferences     (0203  195 3843 )  CO Client 

Greets : Good Morning/ afternoon    Budget conferences  How may I help you? 

Action:    All Directors are busy at present.  
I can take a message and get them to call back once they are free?


Activity:    We are conference organisers; we hold international conferences globally.
The conferences are for PA's and office administrators and our average price is $2,500.

Name(s):     Lumamba  Mwaanza 

Email:        lumambamwaanza@gmail.com",NULL,1,1,CO,
37,FORTALEZA DIGITAL LTD,NULL,NULL,jfamyot@gmail.com,0203 195 3844,0204 599 9549,NULL,0,0,NULL,NULL,Fortaleza is global fintech enabling trading on mobile devices ,NULL,1,1,YCF,
38,Qrex Ltd ,NULL,NULL,inspirel@ymail.com,0203 195 3845,0204 599 9550,NULL,0,0,NULL,NULL,"Greet :  Good Morning/ afternoon   QREX   How may I help you? Action:   All Consultants are busy at present, I can take a message and I'll get our senior consultant  to give you a call once they are free?Activity:   It's an IT consultancy company.  I provide web, software, and mobile app development services, including digital marketing solutions for my clients My clientele range from sole traders to medium sized businesses the average cost of my solutions range from ",NULL,1,1,CO,
39,PREMIUM WORKFORCE LIMITED,NULL,NULL,info@premiumworkforce.co.uk,0203 195 3846,0204 599 9551,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon  PREMIUM WORKFORCE  How may I help you? 

Action:     All lines are busy at present can I take a message?? 
Please take their Name. Tel Number.  and say we will get someone to call you back as soon as possible. 


Activity:     we work with NHS and Private clients and provide Locum and permanent workforce i.e., Doctors /Nurse and allied healthcare staff.   We are a healthcare recruitment company. Our clients will include healthcare professionals looking for job opportunities.


Name:   Khuram  Khan   

Email:    info@premiumworkforce.co.uk",NULL,1,1,CO,
40,WILLMA ESTATE PLANNERS LTD,NULL,NULL,Finlaycristiane@hotmail.com,0203 195 3847,0204 599 9552,NULL,0,0,NULL,NULL,"74909 (Other professional, scientific and technical activities n.e.c.)",NULL,1,1,YCF,
41,The Portfolio Platform ,NULL,NULL,Admin@theportfolioplatform.co.uk,0203 195 3848,0204 599 9553,NULL,0,0,NULL,NULL,Fintech company,NULL,1,1,YCF,
42,HARP TRADING PVT LTD,NULL,NULL,harris.p@allezgroupe.com,0203 195 3849,0204 599 9554,NULL,0,0,NULL,NULL,"Harp Trading Ltd 0203 195 3849

Greeting:  how may I help you?
Response: there is no one available to take your call, can I take a message and get someone to call you back?
Name: Harris Paracha
Activity: Traders of commodities

E-mail: harptradinguk@gmail.com",NULL,1,1,CO,
43,iVote,NULL,NULL,phildougie@hotmail.com,0203 195 3850,0204 599 9555,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon    IVOTE   How may I help you? Action:     All lines are busy at present can I take a message?? Please take their Name. Tel Number.  and say we will get someone to call you back as soon as possible. Activity:     It will be an impartial voluntary not for profit initiative that seeks to encourage young people to vote, principally through outreach to sixth forms.Name:   Philip Douglas   Email:    phildougie@hotmail.com",NULL,1,1,CO,
44,COLMENA GROUP,NULL,NULL,colmena.uk@gmail.com,0203 195 3851,0204 599 9556,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon:  COLMENA GROUP    How may I help.Action:        All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Activity:    We shall focus on all activities pertaining to Facilities Management.  General Maintenance Repairs of Buildings, Licensed Clearances and Removal or internal moving services for offices, residential customers, Cleaning. Prices varyName:       Claudia Luna           Email:       colmena.uk@gmail.com",NULL,1,1,CO,
45,PROFILE PROPERTY MARKETING NETWORK LTD.,NULL,NULL,katie@profile-network.com,0203 195 3852,0204 599 9557,NULL,0,0,NULL,NULL,PROFILE PROPERTY MARKETING NETWORK LTD.   PLEASE ANSWER AS BELOW . Good Morning/afternoon you are thru to  PROFILE NETWORK    - how many I help you?  they may ask for one of the names below please say they are busy at the moment Take message and say they will call you back?   Activty: We are a networking and events membership organisation for those working in the property sector. Names:  Katie . Jane. Duncan eMAIL:   katie@profile-network.com,NULL,1,1,CO,
46,CLEANSTART RESOURCES LIMITED,NULL,NULL,cleanstartresources@gmail.com,0203 195 3853,0204 599 9558,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:  Cleanstart Resources  How may I help                                              Action:    I'm afraid all lines are busy at the moment. Can I take a message?   and someone will call you back as soon as they are available. ........Take their Name.  Tel Number, Business Name.  POST CODE   Business Activity:    Cleaning and other service based roles  13 pounds per hourNames:    Hericka,  Evelyn,  Sylvia.   Ayda         Email:    PLEASE EMAIL MESSAGE TO BOTH EMAILS BELOW      1.	  admin@cleanstartltd.co.uk 2.	  cleanstartresources@gmail.com",NULL,1,1,CO,
47,TITUS ACCOUNTS LTD,NULL,NULL,jack@titusaccounts.co.uk,0203 195 3854,0204 599 9559,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:   TITUS ACCOUNTS LTD  How may I help                                              Action:    All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Business Activity:     Bookkeeping   Year End Accounts and corporation tax returns  Self assessments payroll Due diligence for mergers and buying businesses.  Tax advise.  All prices are tailored to the client we do not have a average price Names:   Jack Moorley          Email:      jack@titusaccounts.co.uk",NULL,1,1,CO,
48,TMX Designs Limited,NULL,NULL,info@tmxdesigns.com,0203 195 3855,0204 599 9560,NULL,0,0,NULL,NULL,Greets:  Good Morning/Afternoon  TMX Designs Limited  How can I help you Action:    I'm afraid all lines are busy at the moment. Can I take a message? and someone will call you back as soon as they are available?Take their Name. Tel Number  Business Activity     Providing interior designs services for residential and commercial properties. I also supply my own range of art prints and original art.Name:       Tersoo Maria  Agera               Email Address:   info@tmxdesigns.com,NULL,1,1,CO,
49,GMI CORPORATE,NULL,NULL,robinbriars@yahoo.co.uk,0203 195 3856,0204 599 9561,NULL,0,0,NULL,NULL,vm,NULL,1,1,YCF,
50,QUADRANT CLEANING SERVICES,NULL,NULL,kenny@quadrantcleaning.co.uk,0203 195 3857,0204 599 9562,NULL,0,0,NULL,NULL,Morning/Afternoon Quadrant Cleaning,NULL,1,1,CO,
51,BUILDECO,NULL,NULL,info@build-eco.com,0203 195 3858,0204 599 9563,NULL,0,0,NULL,NULL," BUILDECO LTD   ( 0203 195 3858) 

Greets:  Good Morning / Afternoon:  BUILDECO  LTD   How may I help.


Action:        All lines are busy at the moment. Can I take a message?
Take their Name, Phone Number.  And say they will call back once they are free 


Activity:   PLEASE  CHECK  with the caller if its regarding the British Homes Awards Competition,   if so direct the caller to the web site   www.build-eco.com 
and ask them to fill in the enquiry details on the contact page stating their request. 

Or you can give out Audley’s  Mobile to clients   07852484395


Name:           Audley English 
  
      
Email:             info@build-eco.com ",NULL,1,1,CO,
52,Sustainable Development Value Ltd (or “SDValue”),NULL,NULL,abdellah@sdvalue.com  ,0203 195 3859,0204 599 9564,NULL,0,0,NULL,NULL,"•	Business Activity:
o	Sustainable Development Value is a team of consultants, data scientists and finance professionals committed to supporting companies and public institutions seeking innovation, growth and positive impact in their journey to economic welfare and development.
o	Our core focus is on Sustainable Growth Strategy.
o	Our service line includes, but is not limited to *Strategy consulting, *Market research, *Organization and Project management, *Digitalization, *Analytics services, etc.
",NULL,1,1,YCF,
53,ANGUS CAPITAL LTD ,NULL,NULL,abadan1949@gmail.com,0203 195 3860,0204 599 9565,NULL,0,0,NULL,NULL,"ANGUS CAPITAL LTD   (0203 195 3860) YCF client

Greeting:  Welcome to ANGUS  CAPITAL LTD , how can I help you?  

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

Business Activity: Warehouse transport  international forwarding    

Names: Mr Francis LECLERC 


Email   abadan1949@gmail.com
 ",NULL,1,1,YCF,
54,EUROPEAN JOBSEARCH LTD,NULL,NULL,support@europeanjobsearch.com ,0203 195 3861,0204 599 9566,NULL,0,0,NULL,NULL,"EUROPEAN JOBSEARCH LTDl   0203 195 3861 ycf
  

Greeting:  Welcome to European Job Search, how can I help you?  

 

Response: I am afraid there is no one available to take your call at the moment, can I take your details and get someone to call you back shortly.  

 

Business Activity: European Job Search is a recruitment company that provides opportunities for overseas individuals to find employment in the UK & Europe 

 

Names: Cliff Thomas (07521 070107), Shah Jubaer (07391 875806), Lavinia Gatej (07388 011092) 

  
E-mail address: support@europeanjobsearch.com ",NULL,1,1,YCF,
55,LEGENDS FESTIVAL LTD,NULL,NULL,musicforanimalwelfare@gmail.com,0203 195 3862,0204 599 9567,NULL,0,0,NULL,NULL,90010 (Performing arts),NULL,1,1,YCF,
56,Luxurious Bathrooms (SELLVY LTD),NULL,NULL,info@luxuriousbathrooms.co.uk,0203 195 3863,0204 599 9568,NULL,0,0,NULL,NULL,My company is working in the sphere of luxurious and high end Bath tubs ,NULL,1,1,YCF,
57,Paon Prod Ltd,NULL,NULL,contact@PaonProd.co.uk,0203 195 3864,0204 599 9569,NULL,0,0,NULL,NULL,Book publishing  Activities of exhibition and fair organisers,NULL,1,1,YCF,
58,Commonwealth Africa Initiative,NULL,NULL,dayo@gleehdfoundation.org,0203 195 3865,0204 599 9570,NULL,0,0,NULL,NULL,"(Good Morning or Afternoon), Commonwealth Africa Initiative How may I help you? please hold while I can get him/her on the phone. Everyone is busy now, but you can send an email to secretariat@commonwealthafrica.com can I take a message and get them to call back once they are free?",NULL,1,1,CO,
59,INTU MOBILITY LTD,NULL,NULL,0,0203 195 3866,0204 599 9571,NULL,0,0,NULL,NULL,"We provide technology solutions for manufacturing and supply chain/Distribution companies. From rugged mobile computers, printers, tablets, and scanners to software, services, and supplies. we’ll help design the right mobile software and hardware solution for your environment",NULL,1,1,YCF,
60,Equilytics,NULL,NULL,simon@equilytics.co.uk,0203 195 3867,0204 599 9572,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon:   Equilytics Limited  How may I help.Action:        All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Activity:      We provide contextual corporate earnings statement reading and data extraction software and services.     Name:      Simon Lucas           Email:        simon@equilytics.co.uk",NULL,1,1,CO,
61,CMW Consultants Limited,NULL,NULL,mark@cmwconsultants.com ,0203 195 3868,0204 599 9573,NULL,0,0,NULL,NULL,"e provide consultancy services to companies dealing in Oil , Gas, Financial services, Telecoms , technology?",NULL,1,1,YCF,
62,TIGUNIA UK LTD.,NULL,NULL,david@tigunia.com,0203 195 3869,0204 599 9574,NULL,0,0,NULL,NULL,"74909 (Other professional, scientific and technical activities",NULL,1,1,YCF,
63,MAI Associates Limited,NULL,NULL,marc@maiassociates.co.uk,0203 195 3870,0204 599 9575,NULL,0,0,NULL,NULL,"Greets:  Good Morning / Afternoon:   MAI Associates Ltd   How may I help.Action:        All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Activity:           We provide high end, professional consulting and investigation services to high net worth individuals, banks, law firms, accountants and businesses on a global basis.Name:      Marc Ingram           Email:       marc@maiassociates.co.uk",NULL,1,1,CO,
64,GRENIERS DU MONDE,NULL,NULL,stan.zokora@gmail.com,0203 195 3871,0204 599 9576,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon: GRENIERS DU MONDE   How may I help                                              Action:    I'm afraid all lines are busy at the moment. Can I take a message. and someone will call you back shortly. Please take their Name, Tel Number.  Business Activity:    Import /Export agricultural products . Plantain, Yams, Cashew kernels  Name(s):    Stanislas Zokora         Email:      stan.zokora@gmail.com",NULL,1,1,CO,
65,Centre for Digital Marketing (CDM),NULL,NULL,jabir@ascentsml.co.uk,0203 195 3872,0204 599 9577,NULL,0,0,NULL,NULL,"Greets:  Good Morning/ afternoon   Centre for Digital Marketing (CDM)  How may I help you? 
TRANSFER ALL CALLS TO  07902901456

Action:     listen to the caller ask for their name & reason for calling then say please hold while I put you through.  & announce who’s calling to Jabir        TRANSFER ALL CALLS TO  07902901456 

** If no answer, go back to caller and take a message and their Name. Tel Number.  and say we will get someone to call you back as soon as possible. 

Activity:    Offering Digital Marketing courses and work with businesses and individuals the average price £300

Name:   Jabir Angillath   

Email:    jabir@ascentsml.co.uk",NULL,1,1,CO,
66,Inclusive Design Consultants Ltd,NULL,NULL,info@pipaaccreditation.com,0203 195 3873,0204 599 9578,NULL,0,0,NULL,NULL,"Greets: Good Morning /Afternoon:   INCLUSIVE DESIGN CONSULTANTS  How may I help.                                             Action:    All lines are busy at the moment. Can I take a message?Take their Name, Phone Number.  And say they will call back once they are free Business Activity:      We provide advise on creating inclusive spaces.  We work with Local Authorities, Landscape Architects and those with disabilities looking for products and services,      This is depending on the service we provide and how much work is involved. ",NULL,1,1,CO,
67,SAORSA+UK LTD,NULL,NULL,bren@saorsa-usa.com,0203 195 3874,0204 599 9579,NULL,0,0,NULL,NULL,"68209 (Other letting and operating of own or leased real estate)

 70229 (Management consultancy activities other than financial management)

 71122 (Engineering related scientific and technical consulting activities)

 82110 (Combined office administrative service activities)",NULL,1,1,YCF,
